I,GEN,LogL,RateVector,State,N,F,Total
111,11100,-384.604,Functional,F,15,44,59
112,11200,-385.382,Non-functional,N,19,0,19
112,11200,-385.382,Functional,F,15,44,59
113,11300,-384.683,Non-functional,N,19,0,19
113,11300,-384.683,Functional,F,15,44,59
114,11400,-385.432,Non-functional,N,19,0,19
114,11400,-385.432,Functional,F,15,44,59
115,11500,-384.739,Non-functional,N,19,0,19
115,11500,-384.739,Functional,F,15,44,59
116,11600,-385.93,Non-functional,N,17,0,17
116,11600,-385.93,Functional,F,14,41,55
117,11700,-386.289,Non-functional,N,17,0,17
117,11700,-386.289,Functional,F,14,41,55
118,11800,-386.079,Non-functional,N,17,0,17
118,11800,-386.079,Functional,F,14,41,55
119,11900,-387.372,Non-functional,N,17,0,17
119,11900,-387.372,Functional,F,14,41,55
120,12000,-386.522,Non-functional,N,17,0,17
120,12000,-386.522,Functional,F,14,41,55
121,12100,-446.42,Non-functional,N,15,0,15
121,12100,-446.42,Functional,F,14,47,61
122,12200,-446.967,Non-functional,N,15,0,15
122,12200,-446.967,Functional,F,14,47,61
123,12300,-447.024,Non-functional,N,15,0,15
123,12300,-447.024,Functional,F,14,47,61
124,12400,-447.418,Non-functional,N,15,0,15
124,12400,-447.418,Functional,F,14,47,61
125,12500,-447.085,Non-functional,N,15,0,15
125,12500,-447.085,Functional,F,14,47,61
126,12600,-405.318,Non-functional,N,20,3,23
126,12600,-405.318,Functional,F,11,42,53
127,12700,-405.371,Non-functional,N,20,3,23
127,12700,-405.371,Functional,F,11,42,53
128,12800,-405.234,Non-functional,N,20,3,23
128,12800,-405.234,Functional,F,11,42,53
129,12900,-406.965,Non-functional,N,20,3,23
129,12900,-406.965,Functional,F,11,42,53
130,13000,-406.19,Non-functional,N,20,3,23
130,13000,-406.19,Functional,F,11,42,53
131,13100,-468.512,Non-functional,N,17,1,18
131,13100,-468.512,Functional,F,13,44,57
132,13200,-468.342,Non-functional,N,17,1,18
132,13200,-468.342,Functional,F,13,44,57
133,13300,-469.806,Non-functional,N,17,1,18
133,13300,-469.806,Functional,F,13,44,57
134,13400,-469.768,Non-functional,N,17,1,18
134,13400,-469.768,Functional,F,13,44,57
135,13500,-470.107,Non-functional,N,17,1,18
135,13500,-470.107,Functional,F,13,44,57
136,13600,-461.783,Non-functional,N,20,2,22
136,13600,-461.783,Functional,F,12,51,63
137,13700,-461.758,Non-functional,N,20,2,22
137,13700,-461.758,Functional,F,12,51,63
138,13800,-462.161,Non-functional,N,20,2,22
138,13800,-462.161,Functional,F,12,51,63
139,13900,-462.139,Non-functional,N,20,2,22
139,13900,-462.139,Functional,F,12,51,63
140,14000,-461.156,Non-functional,N,20,2,22
140,14000,-461.156,Functional,F,12,51,63
141,14100,-392.007,Non-functional,N,22,1,23
141,14100,-392.007,Functional,F,13,37,50
142,14200,-392.672,Non-functional,N,22,1,23
142,14200,-392.672,Functional,F,13,37,50
143,14300,-392.328,Non-functional,N,22,1,23
143,14300,-392.328,Functional,F,13,37,50
144,14400,-392.914,Non-functional,N,22,1,23
144,14400,-392.914,Functional,F,13,37,50
145,14500,-393.072,Non-functional,N,22,1,23
145,14500,-393.072,Functional,F,13,37,50
146,14600,-447.18,Non-functional,N,28,6,34
146,14600,-447.18,Functional,F,9,38,47
147,14700,-447.186,Non-functional,N,28,6,34
147,14700,-447.186,Functional,F,9,38,47
148,14800,-447.582,Non-functional,N,28,6,34
148,14800,-447.582,Functional,F,9,38,47
149,14900,-448.212,Non-functional,N,28,6,34
