I,GEN,LogL,N_freq,F_freq,fixed_one,NN,NtoF,FtoN,FF,U
93,9300,-24.096929,0.082017,0.096384,0.010000,0.407983,0.092017,0.106384,0.393616,0.500000
94,9400,-24.501890,0.060381,0.127007,0.010000,0.429619,0.070381,0.137007,0.362993,0.500000
95,9500,-24.232262,0.024842,0.106895,0.010000,0.465158,0.034842,0.116895,0.383105,0.500000
96,9600,-16.134843,0.027127,0.076660,0.010000,0.462873,0.037127,0.086660,0.413340,0.500000
97,9700,-16.032017,0.057134,0.062247,0.010000,0.432866,0.067134,0.072247,0.427753,0.500000
98,9800,-15.815966,0.068567,0.030305,0.010000,0.421433,0.078567,0.040305,0.459695,0.500000
99,9900,-16.007799,0.095162,0.058780,0.010000,0.394838,0.105162,0.068780,0.431220,0.500000
100,10000,-16.036804,0.123540,0.062929,0.010000,0.366460,0.133540,0.072929,0.427071,0.500000
101,10100,-15.947785,0.130609,0.053909,0.010000,0.359391,0.140609,0.063909,0.436091,0.500000
102,10200,-16.022108,0.146798,0.064580,0.010000,0.343202,0.156798,0.074580,0.425420,0.500000
103,10300,-16.032059,0.209269,0.065989,0.010000,0.280731,0.219269,0.075989,0.424011,0.500000
104,10400,-15.898177,0.203310,0.046638,0.010000,0.286690,0.213310,0.056638,0.443362,0.500000
105,10500,-15.987507,0.209502,0.059645,0.010000,0.280498,0.219502,0.069645,0.430355,0.500000
106,10600,-20.324371,0.190867,0.059537,0.010000,0.299133,0.200867,0.069537,0.430463,0.500000
107,10700,-20.075265,0.217239,0.031877,0.010000,0.272761,0.227239,0.041877,0.458123,0.500000
108,10800,-20.105996,0.230938,0.035383,0.010000,0.259062,0.240938,0.045383,0.454617,0.500000
109,10900,-20.293057,0.206222,0.056154,0.010000,0.283778,0.216222,0.066154,0.433846,0.500000
110,11000,-20.690747,0.181374,0.097213,0.010000,0.308626,0.191374,0.107213,0.392787,0.500000
111,11100,-24.579959,0.206724,0.130524,0.010000,0.283276,0.216724,0.140524,0.359476,0.500000
112,11200,-24.473144,0.228558,0.122762,0.010000,0.261442,0.238558,0.132762,0.367238,0.500000
113,11300,-24.658759,0.233672,0.136145,0.010000,0.256328,0.243672,0.146145,0.353855,0.500000
114,11400,-24.720263,0.205255,0.140471,0.010000,0.284745,0.215255,0.150471,0.349529,0.500000
115,11500,-24.840075,0.208978,0.148747,0.010000,0.281022,0.218978,0.158747,0.341253,0.500000
116,11600,-24.296917,0.172207,0.108078,0.010000,0.317793,0.182207,0.118078,0.381922,0.500000
117,11700,-24.394412,0.170698,0.115453,0.010000,0.319302,0.180698,0.125453,0.374547,0.500000
118,11800,-24.797876,0.156122,0.144489,0.010000,0.333878,0.166122,0.154489,0.345511,0.500000
119,11900,-24.835032,0.157102,0.147047,0.010000,0.332898,0.167102,0.157047,0.342953,0.500000
120,12000,-24.790935,0.148711,0.144009,0.010000,0.341289,0.158711,0.154009,0.345991,0.500000
121,12100,-32.347340,0.178884,0.147494,0.010000,0.311116,0.188884,0.157494,0.342506,0.500000
122,12200,-32.100940,0.204270,0.135223,0.010000,0.285730,0.214270,0.145223,0.354777,0.500000
123,12300,-32.030697,0.209419,0.131645,0.010000,0.280581,0.219419,0.141645,0.358355,0.500000
124,12400,-31.776297,0.187229,0.118382,0.010000,0.302771,0.197229,0.128382,0.371618,0.500000
125,12500,-30.998828,0.208658,0.074728,0.010000,0.281342,0.218658,0.084728,0.415272,0.500000
126,12600,-20.080000,0.203246,0.083418,0.010000,0.286754,0.213246,0.093418,0.406582,0.500000
127,12700,-19.819065,0.184889,0.056011,0.010000,0.305111,0.194889,0.066011,0.433989,0.500000
128,12800,-20.049412,0.176179,0.080297,0.010000,0.313821,0.186179,0.090297,0.409703,0.500000
129,12900,-20.063829,0.179791,0.081771,0.010000,0.310209,0.189791,0.091771,0.408229,0.500000
130,13000,-19.875079,0.205790,0.062046,0.010000,0.284210,0.215790,0.072046,0.427954,0.500000
131,13100,-19.749884,0.231464,0.072398,0.010000,0.258536,0.241464,0.082398,0.417602,0.500000
132,13200,-19.570226,0.256402,0.053214,0.010000,0.233598,0.266402,0.063214,0.436786,0.500000
133,13300,-19.515174,0.246425,0.047161,0.010000,0.243575,0.256425,0.057161,0.442839,0.500000
134,13400,-19.150406,0.276512,0.004879,0.010000,0.213488,0.286512,0.014879,0.485121,0.500000
135,13500,-19.197357,0.266092,0.010540,0.010000,0.223908,0.276092,0.020540,0.479460,0.500000
136,13600,-29.781935,0.311525,0.003146,0.010000,0.178475,0.321525,0.013146,0.486854,0.500000
137,13700,-30.046391,0.283861,0.021196,0.010000,0.206139,0.293861,0.031196,0.468804,0.500000
138,13800,-30.123761,0.278368,0.026349,0.010000,0.211632,0.288368,0.036349,0.463651,0.500000
139,13900,-30.211359,0.283434,0.032115,0.010000,0.206566,0.293434,0.042115,0.457885,0.500000
140,14000,-29.971523,0.281045,0.016155,0.010000,0.208955,0.291045,0.026155,0.473845,0.500000
141,14100,-26.812731,0.251367,0.011938,0.010000,0.238633,0.261367,0.021938,0.478062,0.500000
142,14200,-26.739299,0.224390,0.006051,0.010000,0.265610,0.234390,0.016051,0.483949,0.500000
143,14300,-26.835593,0.231181,0.013756,0.010000,0.258819,0.241181,0.023756,0.476244,0.500000
